"","IDs","H2S_info"
"1","L1-20","Within_Range"
"2","L1-20","Within_Range"
"3","L1-20","Within_Range"
"4","L4-20","Within_Range"
"5","L4-20","Within_Range"
"6","L4-20","Within_Range"
"7","L5-80","Within_Range"
"8","L5-80","Within_Range"
"9","L5-80","Within_Range"
"10","L1-80","Within_Range"
"11","L1-80","Within_Range"
"12","L1-80","Within_Range"
"13","L6-20","Within_Range"
"14","L6-20","Within_Range"
"15","L6-20","Within_Range"
"16","L2-20","Within_Range"
"17","L2-20","Within_Range"
"18","L2-20","Within_Range"
"19","L4-20 Dup","Within_Range"
"20","L4-20 Dup","Within_Range"
"21","L4-20 Dup","Within_Range"
"22","L6-40","Within_Range"
"23","L6-40","Within_Range"
"24","L6-40","Within_Range"
"25","L2-40","Within_Range"
"26","L2-40","Within_Range"
"27","L2-40","Within_Range"
"28","L1-20 Spike","Within_Range"
"29","L1-20 Spike","Within_Range"
"30","L1-20 Spike","Within_Range"
"31","L2-80","Within_Range"
"32","L2-80","Within_Range"
"33","L2-80","Within_Range"
"34","L4-40","Within_Range"
"35","L4-40","Within_Range"
"36","L4-40","Within_Range"
"37","L4-40 Spike","Within_Range"
"38","L4-40 Spike","Within_Range"
"39","L4-40 Spike","Within_Range"
"40","L3-20","Within_Range"
"41","L3-20","Within_Range"
"42","L3-20","Within_Range"
"43","L4-80","Within_Range"
"44","L4-80","Within_Range"
"45","L4-80","Within_Range"
"46","L3-40","Within_Range"
"47","L3-40","Within_Range"
"48","L3-40","Within_Range"
"49","L5-20","Within_Range"
"50","L5-20","Within_Range"
"51","L5-20","Within_Range"
"52","L6-40 Dup","Within_Range"
"53","L6-40 Dup","Within_Range"
"54","L6-40 Dup","Within_Range"
"55","L1-40","Within_Range"
"56","L1-40","Within_Range"
"57","L1-40","Within_Range"
"58","L3-80","Within_Range"
"59","L3-80","Within_Range"
"60","L3-80","Within_Range"
"61","L5-40","Within_Range"
"62","L5-40","Within_Range"
"63","L5-40","Within_Range"
