"","IDs","H2S_info"
"1","L8-40","Within_Range"
"2","L8-40","Within_Range"
"3","L8-40","Within_Range"
"4","L12-40","Within_Range"
"5","L12-40","Within_Range"
"6","L12-40","Within_Range"
"7","L16-80","Within_Range"
"8","L16-80","Within_Range"
"9","L16-80","Within_Range"
"10","P1B-40","Within_Range"
"11","P1B-40","Within_Range"
"12","P1B-40","Within_Range"
"13","L5-40 Spike","Within_Range"
"14","L5-40 Spike","Within_Range"
"15","L5-40 Spike","Within_Range"
"16","P5A-20","Within_Range"
"17","P5A-20","Within_Range"
"18","P5A-20","Within_Range"
"19","P7B-40","Within_Range"
"20","P7B-40","Within_Range"
"21","P7B-40","Within_Range"
"22","L17-80","Within_Range"
"23","L17-80","Within_Range"
"24","L17-80","Within_Range"
"25","P3A-40","Within_Range"
"26","P3A-40","Within_Range"
"27","P3A-40","Within_Range"
"28","L17-80 Dup","Within_Range"
"29","L17-80 Dup","Within_Range"
"30","L17-80 Dup","Within_Range"
"31","L6-40","Within_Range"
"32","L6-40","Within_Range"
"33","L6-40","Within_Range"
