"Test","Run_Date","Top_Std_Absorbance","Mean_PE_Conc","Spike_CV","Run"
"Ammonia 2",2026-01-13,1.057069,1.1158205,0.666695495147103,"Current Runs"
"Ammonia 2",2025-12-18,1.066428,1.3648745,1.34883602193555,"Current Runs"
"Ammonia 2",NA,1.057069,1.1158205,0.666695495147103,"Past Runs"
"Ammonia 2",NA,1.066428,1.3648745,1.34883602193555,"Past Runs"
