Year,Chamber,SCmass_m2,SPmass_m2,DImass_m2,TotalC4mass_m2,Other1mass_m2,Other2mass_m2
2021,1,865.4115719,0,0,0,0,0
2021,2,348.7062864,382.24,187.04,569.28,0,0
2021,3,566.4638262,195.46,184.32,379.78,0,0
2021,4,720.7374675,36.88,0,36.88,0,0
2021,5,671.8831432,33.88,0,33.88,0,0
2021,6,549.1903991,217.12,492.64,709.76,0,0
2021,7,737.5254938,0,0,0,0,0
2021,8,648.8470213,76.38,88.28,164.66,0,0
2021,9,505.2414619,69.38,54.92,124.3,0,0
2021,10,757.7050122,48.34,0,48.34,0,0
2021,11,962.6830723,203.18,41.52,244.7,0,0
2021,12,542.8633513,150.82,36.72,187.54,0,0
2021,Ref1,420.2922995,154.22,0,154.22,0,0
2021,Ref2,207.3345142,437.84,0,437.84,0,0
2021,Ref3,202.1647275,319.58,0,319.58,0,0
2021,Ref4,507.9156419,0,0,0,0,0
2021,Ref5,190.8363041,94.94,32.1,127.04,0,0
2021,Ref6,296.3186331,19.12,0,19.12,0,0
2021,Ref7,282.7260655,348.68,42.24,390.92,0,0
2021,Ref8,259.4783979,536.56,0,536.56,0,0
2021,Ref9,217.5164404,329.66,94,423.66,0,0
2021,Ref10,320.7509985,87.82,55.68,143.5,0,0
2021,Ref11,361.8219116,0,11.96,11.96,0,0
2021,Ref12,258.1420282,33.08,20.4,53.48,0,0
2022,1,888.0158993,0,58.56,58.56,0,0
2022,2,469.418436,446.24,20.58,466.82,0,0
2022,3,605.6758269,310.66,151.94,462.6,0,0
2022,4,720.5437114,485.02,0,485.02,0,0
2022,5,720.9901224,469.88,71.02,540.9,0,0
2022,6,684.6565894,525,9.2,534.2,0,0
2022,7,617.4748706,438.38,22.44,460.82,0,0
2022,8,817.8165176,899.02,31.36,930.38,0,0
2022,9,797.06122,263.66,0,263.66,0,0
2022,10,756.5278596,470.18,0,470.18,0,0
2022,11,940.0524263,202.6,39.9,242.5,0,0
2022,12,670.535344,339.72,127.04,466.76,0,0
2022,Ref1,465.2309984,207.46,0,207.46,0,0
2022,Ref2,147.1181418,1341.46,89.2,1430.66,0,0
2022,Ref3,385.6719678,414.7,77.78,492.48,0,0
2022,Ref4,540.7802273,290.94,55.86,346.8,0,0
2022,Ref5,501.0777467,464.82,85,549.82,0,0
2022,Ref6,414.0839612,978.62,168.82,1147.44,0,0
2022,Ref7,543.7824546,257.28,0,257.28,0,0
2022,Ref8,392.5160007,1287.7,94.72,1382.42,0,0
2022,Ref9,453.8096301,170.26,51.72,221.98,0,0
2022,Ref10,241.1342544,547.06,22.36,569.42,0,0
2022,Ref11,443.8550624,264.8,77.44,342.24,0,0
2022,Ref12,553.7033071,588.9,60.14,649.04,0,0
2023,1,273.7913075,3.58,0,3.58,0,0
2023,2,194.7817916,115.66,3.04,118.7,0,0
2023,3,205.3129667,67.22,145.72,212.94,0,0
2023,4,294.9481632,41.96,0,41.96,0,0
2023,5,566.0339763,48.64,0,48.64,0,0
2023,6,227.2737698,325.06,135.02,460.08,0,0
2023,7,280.9501903,60.96,0,60.96,0,0
2023,8,443.8038703,57.46,7.96,65.42,0,0
2023,9,427.3605276,20.3,0,20.3,0,0
2023,10,325.820791,151.58,40,191.58,0,0
2023,11,512.4291144,60.48,17.26,77.74,0,0
2023,12,251.0890448,67.78,55.98,123.76,0,0
2023,Ref1,239.0026753,76.54,8.14,84.68,0,0
2023,Ref2,74.23217717,169.32,0,169.32,0,0
2023,Ref3,102.0504854,55.58,0,55.58,0,0
2023,Ref4,400.9964937,59.96,0,59.96,0,0
2023,Ref5,123.3483448,36.18,0,36.18,0,0
2023,Ref6,71.67734635,6.78,0,6.78,0,0
2023,Ref7,346.2338956,43.34,0,43.34,0,0
2023,Ref8,180.4803198,301.9,56.66,358.56,0,0
2023,Ref9,217.7850334,149.82,0,149.82,0,0
2023,Ref10,100.3913862,44.04,68.22,112.26,0,0
2023,Ref11,177.9704285,82.58,0,82.58,0,0
2023,Ref12,186.2854574,170.34,0,170.34,0,0
2024,1,546.0771443,200,125.92,325.92,0,0
2024,2,559.2914279,437.22,24.92,462.14,0,0
2024,3,787.3884651,497.78,41.82,539.6,0,0
2024,4,652.4547361,298.16,28.46,326.62,0,0
2024,5,812.5464005,792.94,0,792.94,0,0
2024,6,704.3951929,18.38,92.38,110.76,0,0
2024,7,495.5083158,200,130,330,0,0
2024,8,463.116808,500.4,107.5,607.9,0,0
2024,9,647.6436449,55.72,25.34,81.06,0,0
2024,10,343.6199184,274.28,179,453.28,0,0
2024,11,741.3001415,595.96,27.06,623.02,0,0
2024,12,545.3444075,272.36,0,272.36,0,0
2024,Ref1,421.0837499,0,57.68,57.68,0,0
2024,Ref2,201.1787473,432.84,0,432.84,0,0
2024,Ref3,385.6988714,142.02,194.02,336.04,0,0
2024,Ref4,397.7845961,200,0,200,0,0
2024,Ref5,470.1326289,96.26,0,96.26,0,0
2024,Ref6,321.9042627,154.02,25.46,179.48,0,0
2024,Ref7,358.8187279,519.2,61.72,580.92,0,0
2024,Ref8,410.9471631,202.64,0,202.64,0,0
2024,Ref9,564.5394586,102.94,0,102.94,0,0
2024,Ref10,293.1203118,153.76,32.78,186.54,0,0
2024,Ref11,457.663555,200,0,200,0,0
2024,Ref12,426.0916389,0,164.52,164.52,0,0
2025,1,764.1337731,0,112.6,112.6,0,0
