Year,Chamber,SCmass_m2
2021,1,865.4115719
2021,2,348.7062864
2021,3,566.4638262
2021,4,720.7374675
2021,5,671.8831432
2021,6,549.1903991
2021,7,737.5254938
2021,8,648.8470213
2021,9,505.2414619
2021,10,757.7050122
2021,11,962.6830723
2021,12,542.8633513
2021,Ref1,420.2922995
2021,Ref2,207.3345142
2021,Ref3,202.1647275
2021,Ref4,507.9156419
2021,Ref5,190.8363041
2021,Ref6,296.3186331
2021,Ref7,282.7260655
2021,Ref8,259.4783979
2021,Ref9,217.5164404
2021,Ref10,320.7509985
2021,Ref11,361.8219116
2021,Ref12,258.1420282
2022,1,888.0158993
2022,2,469.418436
2022,3,605.6758269
2022,4,720.5437114
2022,5,720.9901224
2022,6,684.6565894
2022,7,617.4748706
2022,8,817.8165176
2022,9,797.06122
2022,10,756.5278596
2022,11,940.0524263
2022,12,670.535344
2022,Ref1,465.2309984
2022,Ref2,147.1181418
2022,Ref3,385.6719678
2022,Ref4,540.7802273
2022,Ref5,501.0777467
2022,Ref6,414.0839612
2022,Ref7,543.7824546
2022,Ref8,392.5160007
2022,Ref9,453.8096301
2022,Ref10,241.1342544
2022,Ref11,443.8550624
2022,Ref12,553.7033071
2023,1,273.7913075
2023,2,194.7817916
2023,3,205.3129667
2023,4,294.9481632
2023,5,566.0339763
2023,6,227.2737698
2023,7,280.9501903
2023,8,443.8038703
2023,9,427.3605276
2023,10,325.820791
2023,11,512.4291144
2023,12,251.0890448
2023,Ref1,239.0026753
2023,Ref2,74.23217717
2023,Ref3,102.0504854
2023,Ref4,400.9964937
2023,Ref5,123.3483448
2023,Ref6,71.67734635
2023,Ref7,346.2338956
2023,Ref8,180.4803198
2023,Ref9,217.7850334
2023,Ref10,100.3913862
2023,Ref11,177.9704285
2023,Ref12,186.2854574
2024,1,546.0771443
2024,2,559.2914279
2024,3,787.3884651
2024,4,652.4547361
2024,5,812.5464005
2024,6,704.3951929
2024,7,495.5083158
2024,8,463.116808
2024,9,647.6436449
2024,10,343.6199184
2024,11,741.3001415
2024,12,545.3444075
2024,Ref1,421.0837499
2024,Ref2,201.1787473
2024,Ref3,385.6988714
2024,Ref4,397.7845961
2024,Ref5,470.1326289
2024,Ref6,321.9042627
2024,Ref7,358.8187279
2024,Ref8,410.9471631
2024,Ref9,564.5394586
2024,Ref10,293.1203118
2024,Ref11,457.663555
2024,Ref12,426.0916389
2025,1,764.1337731
2025,2,451.3004111
2025,3,927.9032966
2025,4,450.9746424
2025,5,804.053964
2025,6,800.7873561
2025,7,553.259067
2025,8,530.8414456
2025,9,810.5567865
2025,10,456.2785653
2025,11,693.4216297
2025,12,600.3786914
2025,Ref1,455.4512882
2025,Ref2,85.64549741
2025,Ref3,403.2857527
2025,Ref4,646.5955941
2025,Ref5,324.631237
2025,Ref6,398.2825331
2025,Ref7,435.3916991
2025,Ref8,487.2957529
2025,Ref9,576.7639236
2025,Ref10,743.7233981
2025,Ref11,607.8590534
2025,Ref12,644.029771
