Year,Chamber,SPdensity_m2,SPmass_m2,DIdensity_m2,DImass_m2,Other1density_m2,Other1mass_m2,Other2density_m2,Other2mass_m2,TotalC4mass_m2
2023,12,200,67.78,200,55.98,0,0,0,0,123.76
2023,Ref1,400,76.54,200,8.14,0,0,0,0,84.68
2023,Ref2,1800,169.32,0,0,0,0,0,0,169.32
2023,Ref3,600,55.58,0,0,0,0,0,0,55.58
2023,Ref4,400,59.96,0,0,0,0,0,0,59.96
2023,Ref5,200,36.18,0,0,0,0,0,0,36.18
2023,Ref6,200,6.78,0,0,0,0,0,0,6.78
2023,Ref7,600,43.34,0,0,0,0,0,0,43.34
2023,Ref8,1600,301.9,200,56.66,0,0,0,0,358.56
2023,Ref9,800,149.82,0,0,0,0,0,0,149.82
2023,Ref10,200,44.04,400,68.22,0,0,0,0,112.26
2023,Ref11,600,82.58,0,0,0,0,0,0,82.58
2023,Ref12,1400,170.34,0,0,0,0,0,0,170.34
2024,1,1400,200,800,125.92,0,0,0,0,325.92
2024,2,5600,437.22,400,24.92,0,0,0,0,462.14
2024,3,2400,497.78,200,41.82,0,0,0,0,539.6
2024,4,1800,298.16,200,28.46,0,0,0,0,326.62
2024,5,5000,792.94,0,0,0,0,0,0,792.94
2024,6,200,18.38,600,92.38,0,0,0,0,110.76
2024,7,1800,200,400,130,0,0,0,0,330
2024,8,2000,500.4,800,107.5,0,0,0,0,607.9
2024,9,200,55.72,200,25.34,0,0,0,0,81.06
2024,10,2400,274.28,1800,179,0,0,0,0,453.28
2024,11,3400,595.96,400,27.06,0,0,0,0,623.02
2024,12,2000,272.36,0,0,0,0,0,0,272.36
2024,Ref1,0,0,200,57.68,0,0,0,0,57.68
2024,Ref2,2000,432.84,0,0,0,0,0,0,432.84
2024,Ref3,1400,142.02,800,194.02,0,0,0,0,336.04
2024,Ref4,600,200,0,0,0,0,0,0,200
2024,Ref5,600,96.26,0,0,0,0,0,0,96.26
2024,Ref6,1000,154.02,200,25.46,0,0,0,0,179.48
2024,Ref7,2400,519.2,400,61.72,0,0,0,0,580.92
2024,Ref8,1400,202.64,0,0,0,0,0,0,202.64
2024,Ref9,400,102.94,0,0,0,0,0,0,102.94
2024,Ref10,1400,153.76,200,32.78,0,0,0,0,186.54
2024,Ref11,600,200,0,0,0,0,0,0,200
2024,Ref12,0,0,1000,164.52,0,0,0,0,164.52
2025,1,0,0,800,112.6,0,0,0,0,112.6
2025,2,600,88.8,600,58.4,0,0,0,0,147.2
2025,3,400,54.8,1000,138.2,0,0,0,0,193
2025,4,0,0,0,0,0,0,0,0,0
2025,5,2200,420.4,200,18.8,0,0,0,0,439.2
2025,6,200,88.4,400,139.4,0,0,0,0,227.8
2025,7,1800,232,200,25.4,0,0,0,0,257.4
2025,8,3200,665.2,400,36.2,0,0,0,0,701.4
2025,9,600,116.2,400,84.2,0,0,0,0,200.4
2025,10,1600,181.6,400,41.2,0,0,0,0,222.8
2025,11,200,77,0,0,0,0,0,0,77
2025,12,0,0,1600,313.6,0,0,0,0,313.6
2025,Ref1,2600,370.4,1000,202.8,0,0,0,0,573.2
2025,Ref2,5200,880.2,1600,42.8,0,0,0,0,923
2025,Ref3,5200,649.4,200,2.4,0,0,0,0,651.8
2025,Ref4,3200,424.2,400,75.6,0,0,0,0,499.8
2025,Ref5,4200,848.4,1200,325,0,0,0,0,1173.4
2025,Ref6,1200,238.8,400,46.6,0,0,0,0,285.4
2025,Ref7,4400,505.4,0,0,0,0,0,0,505.4
2025,Ref8,6000,965.2,200,6.4,0,0,0,0,971.6
2025,Ref9,5600,850.8,1000,206.6,0,0,0,0,1057.4
2025,Ref10,7200,789,800,67.6,0,0,0,0,856.6
2025,Ref11,2000,435.8,600,65.6,0,0,0,0,501.4
2025,Ref12,4800,574.6,400,6.4,0,0,0,0,581
