Year,Chamber,SPdensity_m2,SPmass_m2,DIdensity_m2,DImass_m2,Other1density_m2,Other1mass_m2,Other2density_m2,Other2mass_m2,TotalC4mass_m2
2021,1,0,0,0,0,0,0,0,0,0
2021,2,2400,382.24,1400,187.04,0,0,0,0,569.28
2021,3,1400,195.46,1600,184.32,0,0,0,0,379.78
2021,4,400,36.88,0,0,0,0,0,0,36.88
2021,5,400,33.88,0,0,0,0,0,0,33.88
2021,6,1600,217.12,2600,492.64,0,0,0,0,709.76
2021,7,0,0,0,0,0,0,0,0,0
2021,8,600,76.38,600,88.28,0,0,0,0,164.66
2021,9,400,69.38,400,54.92,0,0,0,0,124.3
2021,10,200,48.34,0,0,0,0,0,0,48.34
2021,11,2000,203.18,200,41.52,0,0,0,0,244.7
2021,12,1000,150.82,400,36.72,0,0,0,0,187.54
2021,Ref1,1200,154.22,0,0,0,0,0,0,154.22
2021,Ref2,3000,437.84,0,0,0,0,0,0,437.84
2021,Ref3,2200,319.58,0,0,0,0,0,0,319.58
2021,Ref4,0,0,0,0,0,0,0,0,0
2021,Ref5,400,94.94,400,32.1,0,0,0,0,127.04
2021,Ref6,200,19.12,0,0,0,0,0,0,19.12
2021,Ref7,2200,348.68,400,42.24,0,0,0,0,390.92
2021,Ref8,2200,536.56,0,0,0,0,0,0,536.56
2021,Ref9,2400,329.66,400,94,0,0,0,0,423.66
2021,Ref10,400,87.82,400,55.68,0,0,0,0,143.5
2021,Ref11,0,0,200,11.96,0,0,0,0,11.96
2021,Ref12,200,33.08,200,20.4,0,0,0,0,53.48
2022,1,0,0,400,58.56,0,0,0,0,58.56
2022,2,4200,446.24,200,20.58,0,0,0,0,466.82
2022,3,2400,310.66,1000,151.94,0,0,0,0,462.6
2022,4,3800,485.02,0,0,0,0,0,0,485.02
2022,5,5200,469.88,200,71.02,0,0,0,0,540.9
2022,6,4000,525,200,9.2,0,0,0,0,534.2
2022,7,3000,438.38,400,22.44,0,0,0,0,460.82
2022,8,6000,899.02,200,31.36,0,0,0,0,930.38
2022,9,2200,263.66,0,0,0,0,0,0,263.66
2022,10,5000,470.18,0,0,0,0,0,0,470.18
2022,11,1000,202.6,600,39.9,0,0,0,0,242.5
2022,12,2000,339.72,600,127.04,0,0,0,0,466.76
2022,Ref1,1600,207.46,0,0,0,0,0,0,207.46
2022,Ref2,7600,1341.46,400,89.2,0,0,0,0,1430.66
2022,Ref3,3400,414.7,800,77.78,0,0,0,0,492.48
2022,Ref4,2200,290.94,600,55.86,0,0,0,0,346.8
2022,Ref5,2600,464.82,400,85,0,0,0,0,549.82
2022,Ref6,5000,978.62,1000,168.82,0,0,0,0,1147.44
2022,Ref7,2000,257.28,0,0,0,0,0,0,257.28
2022,Ref8,7000,1287.7,600,94.72,0,0,0,0,1382.42
2022,Ref9,1600,170.26,400,51.72,0,0,0,0,221.98
2022,Ref10,5400,547.06,200,22.36,0,0,0,0,569.42
2022,Ref11,1200,264.8,800,77.44,0,0,0,0,342.24
2022,Ref12,4400,588.9,200,60.14,0,0,0,0,649.04
2023,1,200,3.58,0,0,0,0,0,0,3.58
2023,2,800,115.66,200,3.04,0,0,0,0,118.7
2023,3,200,67.22,800,145.72,0,0,0,0,212.94
2023,4,200,41.96,0,0,0,0,0,0,41.96
2023,5,600,48.64,0,0,0,0,0,0,48.64
2023,6,1800,325.06,600,135.02,0,0,0,0,460.08
2023,7,200,60.96,0,0,0,0,0,0,60.96
2023,8,600,57.46,200,7.96,0,0,0,0,65.42
2023,9,400,20.3,0,0,0,0,0,0,20.3
2023,10,1200,151.58,400,40,0,0,0,0,191.58
2023,11,400,60.48,200,17.26,0,0,0,0,77.74
